"partNumber","title","price","partsCategory"
"ПЖД30Г-1015006","Подогреватель жидкостной предпусковой. Дизель, 30 кВТ (Урал с двиг. ЯМЗ) (НОВЫЙ)",27300,2869
"14ТС-10","Подогреватель жидкостный предпусковой 12В",29489,2869
"14ТС-10","Подогреватель жидкостный предпусковой дизельный",29489,2869
"сб. 2425","Подогреватель предпусковой БИНАР 5Д-СВ Дизель 12В 5кВт",27450,2869
"ПЖД30Ж-1015006-80","Подогреватель предпусковой ПЖД30 с двиг.ЯМЗ (УРАЛ)(котет плюс агрегат насосный,катушка рем. комплек)",26789,2869
"ТЕРМО Е-320","Подогреватель пусковой жидкостный (24В) Вебасто DВW 300 (ТЕРМО Е-320)/DBW300",64565,2869
"ПЖД30-1015265-20","Полумуфта",43,2869
"4320-1015162","Пробка наливной трубы ПЖД и доп.топливного бака",590,2869
"ПЖД600И-1015410","Пульт ПЖД600, ПЖД30",2244,2869
"375-1015410-20","Пульт управления",0,2869
"ПЖД30-10150063И","Рем. комплект предпускового подогревателя (ЗИП)",1480,2869
"ПЖД30-1015005","Рем.комплект ПЖД-30 ШААЗ (ЗиП)     ПЖД30-1015005",0,2869
"6422-1015081","Рукав ПЖД (25х35, L=1100) 6422-1015081",0,2869
"6422-1015080","Рукав ПЖД (25х35, L=1350) 6422-1015080",0,2869
"сб. 3333 (ан. сб.886)","Свеча 12/24В` универсальная для отопителей Планар-4ДМ2, -44Д 24В/12В (Адверс)",2273,2869
"СН-307В","Свеча зажигания",0,2869
"сб.165","Свеча накаливания ПЖД14ТС-10 ""Теплостар"", Планар-8 (ан. СН-06)",2280,2869
"сб.886","Свеча накаливания ПЛАНАР 4Д-12/24 (Теплостар)",1575,2869
"ПЖД30-1015006","Свеча накаливания СН-423",625,2869
"252069100102","СЕТКА СВЕЧИ AIRTRONIC D2/D3/D4/B4 M8/M10/M12 (ЭБЕРСПЕХЕР)",380,2869
"сб.869","Сетка-фильтр сб. 869` отопитель Планар 4Д, 4ДМ2, 44Д, 8Д, Бинар 5Д (Адверс)",121,2869
"4320-1015533","Скоба",0,2869
"43223-1015508","Скоба кронштейна котла ПЖД30",75,2869
"4320-1015525","Скоба кронштейна насосного агрегата ПЖД30",61,2869
"ОВ65-2030","Сопротивление (0,65 ОМа для 24 В) ОВ65-2030",728,2869
"ОВ65-2000","Спираль контрольная ОВ65-2000",210,2869
"ПЖД30-1015012-20","Теплообменник в сборе, ПЖД30-1015012-20",8145,2869
"ПЖД30-1015012-20","Теплообменник ПЖД30",8150,2869
"сб. 2","Топливный насос ТН10-6,8/24В ( для ПЛАНАР 4Д)",1890,2869
"сб 2192","Топливный насос ТН8 - 6,8- 24 в ( для ПЛАНАР 4ДМ и 4ДМ-2)",1744,2869
"14ТС.451.27.00.00.000","Труба выхлопная подогревателя предпускового 14ТС",900,2869
"4320Я3-1015511-10","ТРУБА ПОДВОДЯЩАЯ КОТЛА ПОДОГРЕВАТЕЛЯ",743,2869
"4320Я3-1015559","Труба подводящая левая в сборе",1388,2869
"4320Я-1015559-01","Труба подводящая левая в сборе (28мм.)",1180,2869
"4320Я-1015204-10","Труба подводящая насосного агрегата (32мм.)",877,2869
"4320Я2-1015204","Труба подводящая насосного агрегата (32мм.)",905,2869
"4320Я3-1015552","Труба подводящая правая в сборе",1542,2869
"4320Я2-1015552","Труба подводящая правая в сборе (28мм.)",2450,2869
"4320Я-1015552-20","Труба подводящая правая в сборе (28мм.)",1314,2869
"5557-8609224","Труба сливная",0,2869
"ПЖД30-1015160","Трубка топливная",156,2869
"336-1704300","Трубопровод масляной системы",899,2869
"030-0010-20","Установка отопительная 24В 3.5кв.воздушная ШААЗ без м.к. К-К",13900,2869
"Ар20-1112145","Фильтр",87,2869
"ПЖД600-1015616","Фильтр",55,2869
"ПЖД30-1015610-10","Форсунка",520,2869
"4320-1015609","Хомут крепления газонаправляющего патрубка",42,2869
"ОВ65-0512","Шайба ОВ 65-0512",0,2869
"ПЖД30-1015135-10","Штуцер топливной 2900",0,2869
"4320-3741040","Щиток приборов (управление ПЖД)",2835,2869
"ПЖД30-1015501-05","Электромагнит с клапаном",854,2869
"11-3741060","Электронагреватель",420,2869
"сб 2175","Электронасос 24В (помпа) подогревателя 14ТС-10 сб 2175 НО472.3780 24В",1500,2869
"сб 2175","Электронасос 24В (помпа) сб 2175",1778,2869
"сб.2175/сб.э24/П6.24В","Электронасос ПЖД ТЕПЛОСТАР 14ТС-10 24V сб.2175/сб.э24/П6.24В",2112,2869
"48.3741-32","Электроподогреватель двигателя 1,5 кВт 406дв.",1900,2869
"236Н-1005015","236Н-1005015 Вал коленчатый в сборе (236НЕ-1005009-Б)",57984,2870
"236НЕ-1003005-01","236НЕ-1003005-01 Ремкомплект 1 ГБЦ (общ.) ЯМЗ-236НЕ/БЕ 17 наим",1768,2870
"236НЕ-1008001-05","236НЕ-1008001-05 Ремкомплект выпускного коллектора метизы+прокладки",1721,2870
"64301-1001016","Балка опоры двигателя МАЗ",0,2870
"4320-1001095","Башмак в сборе",0,2870
"236-1002012-В8","Блок цилиндров",49500,2870
"236НЕ2-1002012-А6","Блок цилиндров",56547,2870
"740-1002012","Блок цилиндров",0,2870
"656-1002012-41","Блок цилиндров (Урал-63685, ЯМЗ-7601, раздельная ГБЦ)",0,2870
"740.21-1002012-21","Блок цилиндров в сб с распредвалом 740.21-1006015 на дв.740,7403",146000,2870
"238-1002012-Б3","Блок цилиндров в сборе",75166,2870
"740-1002012","Блок цилиндров двигателя 012 (ОАО Камаз)",0,2870
"740.21-1002012-21","Блок цилиндров двигателя с распредвалом (ОАО Камаз)",131872,2870
"740-1002015","Блок цилиндров КамАЗ-4310 ( 2004 г)",0,2870
"740.73-1002010","Блок цилиндров КАМАЗ-ЕВРО-4 (дв.740.622,740.70-74) (ТНВД BOSCH с системой Common Rail)",243000,2870
"656.1002012-31","Блок цилиндров ЯМЗ-236НЕ2,БЕ2,6562 общ.ГБЦ под кор.гильзу Евро-2,3",93818,2870
"238-1002012-Д","Блок цилиндров ЯМЗ-238М2 Н/О (под гильзу с поршнем 236-1004005-Б) 238-1002012-Д",0,2870
"658-1002012-31","Блок цилиндров ЯМЗ-7511,238ДЕ2,6582 общ.ГБЦ под кор.гильзу Евро-2,3",111550,2870
"240-1029284-Б","Болт",0,2870
"200853-П29","Болт",0,2870
"4320-1001128","Болт в сборе",0,2870
"332689-П29","Болт двигателя (М14*2*110) ДВС ЯМЗ",53,2870
"332689-П29","Болт двигателя (М16*1,5*115) ДВС Урал КАМАЗ",56,2870
"236-1005159","Болт крепления крышки подшипников",135,2870
"7511.1005127","Болт крепления маховика (ан. 236)",34,2870
"236-1004063-Б","Болт крышки шатуна длинный",0,2870
"236-1004062-Б","Болт крышки шатуна короткий",0,2870
"200404-П29","Болт М12-1,25-95-30-7-17",26,2870
"201588","Болт М14*2*38 (крепления балки перед.опоры двиг.ЯМЗ)",11,2870
"200819 П29","Болт М14х70-6gx (крепления подушки,дв.ЯМЗ)",26,2870
"236-1005127","Болт маховика М16*1,5*45",60,2870
"236-1005178","Болт стяжной М14 на блок цилиндров ""длинный""",45,2870
"236-1005180-А","Болт стяжной на блок цилиндров ""короткий""",37,2870
"4320-1104135","Болт топливопроводный",71,2870
"4320-1104134","Болт топливопроводный (М14*1,5*30)",71,2870
"236-1003272","Болт ЯМЗ крепления крышки клапанной",246,2870
"236-3509308-Б","Болт-натяжитель в сборе",250,2870
"238-1005008-Г2","Вал коленчатый",67125,2870
"201-04с5-1","Вал коленчатый",0,2870
"236-1005009-Ж","Вал коленчатый",82013,2870
"74030-1005008","Вал коленчатый  КамАЗ ЕВРО-2 на дв. 74030 (74030-1005008-03 коленвал)",98370,2870
"740.13-1005008-20","Вал коленчатый  КамАЗ на дв.740,7403",99871,2870
"238ДК-1000107-30","Вал коленчатый (комплект с вкладышами)",97264,2870
"238-1005009-Г3","Вал коленчатый азотированный дв.ЯМЗ-238М2,Д,Б,ДЕ,БЕ",102890,2870
"238-1000107","Вал коленчатый в сборе",61003,2870
"740-1005009","вал коленчатый в сборе",0,2870
"236-1005009-Д2","Вал коленчатый в сборе (взаимозаменяемый 236НЕ-1005009)",58782,2870
"238БЕ-1005009","Вал коленчатый в сборе (на ЯМЗ 238Н)",0,2870
"236ДК-1000107-30","Вал коленчатый для двигать.ЯМЗ-236 ДК и ЯМЗ 238 АК",74750,2870
"740.71-1005008","Вал коленчатый КАМАЗ-ЕВРО-4 (от 300 л.с.)",123000,2870
"236НЕ-1000107","Вал коленчатый с вкладышами подшипников в сб.",65111,2870
"7601.1000107","Вал коленчатый с вкладышами подшипников в сборе",49520,2870
"238-1005015-Г","Вал коленчатый с противовесами в сборе",65111,2870
"236НЕ-1005009","Вал коленчатый с шестерней и маслоотражателями в сб.",78740,2870
"238-1005009-Д2","Вал коленчатый ЯМЗ-238",64400,2870
"238-1005009-Г2","Вал коленчатый ЯМЗ-238М2",74793,2870
"64229-1001054","Вал МАЗ опоры двигателя",0,2870
"154.1770044","Вал первичный делителя",7000,2870
"740-1108045","Вал привода аксилератора ОАО ""Камаз""",495,2870
"740-1006010","вал распределительный",5471,2870
"7511.1006015","Вал распределительный",8293,2870
"236-1006015-Г3","Вал распределительный",4530,2870
"238-1006015-Г2","Вал распределительный",3701,2870
"7601.1006015","Вал распределительный (нов. образца)",7361,2870
"740.1006015-04","Вал распределительный КАМАЗ (ОАО КАМАЗ",5631,2870
"236-1005125-В2","Венец (обод) маховика (132 зуб.)",4600,2870
"236-1005125-Б","Венец маховика (115 зуб.)",4284,2870
"201-1722049-42","Вилка переключения демультипликатора в сборе",0,2870
"236-1007148-Б","Винт регулировочный",75,2870
"А23.01.103-160","Вкладиши коренные Н1 на Д-180/160",0,2870
"238-1000102-Б2-Р4","Вкладыш",0,2870
"740-1004058","Вкладыш нижней головки",0,2870
"650.1000102","Вкладыш ЯМЗ-650.10 коренной (комплект 14шт.)",5080,2870
"650.1000104","Вкладыш ЯМЗ-650.10 шатунный (комплект 12шт.)",4900,2870
"238-1000104-Б","Вкладыши",2291,2870
